pgc_name,full_pgc_name,hubb,E,Irr,S0,SBa,SBb,SBc,Sa,Sb,Sc
PGC 281    ,PGC0000281,Sa,0,0,0,0,0,0,1,0,0
PGC 282    ,PGC0000282,SBc,0,0,0,0,0,1,0,0,0
PGC 1841   ,PGC0001841,SBa,0,0,0,1,0,0,0,0,0
PGC 3584   ,PGC0003584,Sb,0,0,0,0,0,0,0,1,0
PGC 635    ,PGC0000635,SBa,0,0,0,1,0,0,0,0,0
PGC 70547  ,PGC0070547,SBb,0,0,0,0,1,0,0,0,0
PGC 1932   ,PGC0001932,SBb,0,0,0,0,1,0,0,0,0
PGC 1909   ,PGC0001909,SBb,0,0,0,0,1,0,0,0,0
PGC 6671   ,PGC0006671,Sa,0,0,0,0,0,0,1,0,0
PGC 71025  ,PGC0071025,Sb,0,0,0,0,0,0,0,1,0
PGC 71021  ,PGC0071021,E,1,0,0,0,0,0,0,0,0
PGC 1224   ,PGC0001224,SBb,0,0,0,0,1,0,0,0,0
PGC 1221   ,PGC0001221,SBb,0,0,0,0,1,0,0,0,0
PGC 8228   ,PGC0008228,Sa,0,0,0,0,0,0,1,0,0
PGC 8225   ,PGC0008225,Sa,0,0,0,0,0,0,1,0,0
PGC 2149   ,PGC0002149,E,1,0,0,0,0,0,0,0,0
PGC 7905   ,PGC0007905,SBc,0,0,0,0,0,1,0,0,0
PGC 2182   ,PGC0002182,SBb,0,0,0,0,1,0,0,0,0
PGC 6667   ,PGC0006667,SBc,0,0,0,0,0,1,0,0,0
PGC 2482   ,PGC0002482,S0,0,0,1,0,0,0,0,0,0
PGC 5932   ,PGC0005932,SBb,0,0,0,0,1,0,0,0,0
PGC 7210   ,PGC0007210,SBb,0,0,0,0,1,0,0,0,0
PGC 7835   ,PGC0007835,Sc,0,0,0,0,0,0,0,0,1
PGC 3377   ,PGC0003377,Sc,0,0,0,0,0,0,0,0,1
PGC 2805   ,PGC0002805,SBc,0,0,0,0,0,1,0,0,0
PGC 72122  ,PGC0072122,SBc,0,0,0,0,0,1,0,0,0
PGC 2151   ,PGC0002151,SBc,0,0,0,0,0,1,0,0,0
PGC 2800   ,PGC0002800,SBb,0,0,0,0,1,0,0,0,0
PGC 6832   ,PGC0006832,Sb,0,0,0,0,0,0,0,1,0
PGC 8295   ,PGC0008295,SBc,0,0,0,0,0,1,0,0,0
PGC 2035   ,PGC0002035,SBb,0,0,0,0,1,0,0,0,0
PGC 6826   ,PGC0006826,SBc,0,0,0,0,0,1,0,0,0
PGC 8232   ,PGC0008232,SBb,0,0,0,0,1,0,0,0,0
PGC 7806   ,PGC0007806,Sc,0,0,0,0,0,0,0,0,1
PGC 71920  ,PGC0071920,Irr,0,1,0,0,0,0,0,0,0
PGC 7366   ,PGC0007366,Sb,0,0,0,0,0,0,0,1,0
PGC 10249  ,PGC0010249,SBc,0,0,0,0,0,1,0,0,0
PGC 9843   ,PGC0009843,SBc,0,0,0,0,0,1,0,0,0
PGC 9621   ,PGC0009621,Sb,0,0,0,0,0,0,0,1,0
PGC 4647   ,PGC0004647,SBa,0,0,0,1,0,0,0,0,0
PGC 2269   ,PGC0002269,Sc,0,0,0,0,0,0,0,0,1
PGC 2391   ,PGC0002391,SBa,0,0,0,1,0,0,0,0,0
PGC 3620   ,PGC0003620,Sb,0,0,0,0,0,0,0,1,0
PGC 7262   ,PGC0007262,SBb,0,0,0,0,1,0,0,0,0
PGC 72250  ,PGC0072250,SBc,0,0,0,0,0,1,0,0,0
PGC 7118   ,PGC0007118,E,1,0,0,0,0,0,0,0,0
PGC 2331   ,PGC0002331,Sc,0,0,0,0,0,0,0,0,1
PGC 7632   ,PGC0007632,Sb,0,0,0,0,0,0,0,1,0
PGC 70084  ,PGC0070084,SBc,0,0,0,0,0,1,0,0,0
PGC 70088  ,PGC0070088,Sc,0,0,0,0,0,0,0,0,1
PGC 7654   ,PGC0007654,Irr,0,1,0,0,0,0,0,0,0
PGC 9817   ,PGC0009817,Irr,0,1,0,0,0,0,0,0,0
PGC 1862   ,PGC0001862,SBb,0,0,0,0,1,0,0,0,0
PGC 10108  ,PGC0010108,Sc,0,0,0,0,0,0,0,0,1
PGC 10290  ,PGC0010290,SBa,0,0,0,1,0,0,0,0,0
PGC 3140   ,PGC0003140,SBa,0,0,0,1,0,0,0,0,0
PGC 6504   ,PGC0006504,Irr,0,1,0,0,0,0,0,0,0
PGC 72147  ,PGC0072147,Sb,0,0,0,0,0,0,0,1,0
PGC 6505   ,PGC0006505,SBb,0,0,0,0,1,0,0,0,0
PGC 10766  ,PGC0010766,Sc,0,0,0,0,0,0,0,0,1
PGC 10137  ,PGC0010137,SBb,0,0,0,0,1,0,0,0,0
PGC 10875  ,PGC0010875,S0,0,0,1,0,0,0,0,0,0
PGC 69438  ,PGC0069438,Irr,0,1,0,0,0,0,0,0,0
PGC 10285  ,PGC0010285,Sc,0,0,0,0,0,0,0,0,1
PGC 7485   ,PGC0007485,SBb,0,0,0,0,1,0,0,0,0
PGC 11813  ,PGC0011813,SBc,0,0,0,0,0,1,0,0,0
PGC 66068  ,PGC0066068,SBb,0,0,0,0,1,0,0,0,0
PGC 8182   ,PGC0008182,SBc,0,0,0,0,0,1,0,0,0
PGC 66070  ,PGC0066070,SBa,0,0,0,1,0,0,0,0,0
PGC 11148  ,PGC0011148,SBc,0,0,0,0,0,1,0,0,0
PGC 9822   ,PGC0009822,SBc,0,0,0,0,0,1,0,0,0
PGC 8502   ,PGC0008502,SBa,0,0,0,1,0,0,0,0,0
PGC 12259  ,PGC0012259,SBb,0,0,0,0,1,0,0,0,0
PGC 12090  ,PGC0012090,Sc,0,0,0,0,0,0,0,0,1
PGC 9846   ,PGC0009846,Sc,0,0,0,0,0,0,0,0,1
PGC 13204  ,PGC0013204,Sc,0,0,0,0,0,0,0,0,1
PGC 12633  ,PGC0012633,Sa,0,0,0,0,0,0,1,0,0
PGC 11767  ,PGC0011767,SBc,0,0,0,0,0,1,0,0,0
PGC 66774  ,PGC0066774,Sc,0,0,0,0,0,0,0,0,1
PGC 65506  ,PGC0065506,Sc,0,0,0,0,0,0,0,0,1
PGC 66766  ,PGC0066766,SBa,0,0,0,1,0,0,0,0,0
PGC 13600  ,PGC0013600,S0,0,0,1,0,0,0,0,0,0
PGC 10794  ,PGC0010794,Sb,0,0,0,0,0,0,0,1,0
PGC 67282  ,PGC0067282,Sc,0,0,0,0,0,0,0,0,1
PGC 13879  ,PGC0013879,SBb,0,0,0,0,1,0,0,0,0
PGC 13535  ,PGC0013535,Sc,0,0,0,0,0,0,0,0,1
PGC 65943  ,PGC0065943,SBb,0,0,0,0,1,0,0,0,0
PGC 13394  ,PGC0013394,Sc,0,0,0,0,0,0,0,0,1
PGC 13218  ,PGC0013218,E,1,0,0,0,0,0,0,0,0
PGC 12466  ,PGC0012466,SBb,0,0,0,0,1,0,0,0,0
PGC 12801  ,PGC0012801,Irr,0,1,0,0,0,0,0,0,0
PGC 12772  ,PGC0012772,Sb,0,0,0,0,0,0,0,1,0
PGC 13407  ,PGC0013407,SBc,0,0,0,0,0,1,0,0,0
PGC 65131  ,PGC0065131,Sa,0,0,0,0,0,0,1,0,0
PGC 65310  ,PGC0065310,Sb,0,0,0,0,0,0,0,1,0
PGC 13009  ,PGC0013009,Sb,0,0,0,0,0,0,0,1,0
PGC 13005  ,PGC0013005,S0,0,0,1,0,0,0,0,0,0
PGC 13421  ,PGC0013421,Sc,0,0,0,0,0,0,0,0,1
PGC 13426  ,PGC0013426,Sc,0,0,0,0,0,0,0,0,1
PGC 37651  ,PGC0037651,SBb,0,0,0,0,1,0,0,0,0
PGC 41202  ,PGC0041202,Sb,0,0,0,0,0,0,0,1,0
PGC 37336  ,PGC0037336,Sa,0,0,0,0,0,0,1,0,0
PGC 37916  ,PGC0037916,E,1,0,0,0,0,0,0,0,0
PGC 36969  ,PGC0036969,E,1,0,0,0,0,0,0,0,0
PGC 37202  ,PGC0037202,Irr,0,1,0,0,0,0,0,0,0
PGC 44388  ,PGC0044388,S0,0,0,1,0,0,0,0,0,0
PGC 35544  ,PGC0035544,Sb,0,0,0,0,0,0,0,1,0
PGC 42618  ,PGC0042618,S0,0,0,1,0,0,0,0,0,0
PGC 45195  ,PGC0045195,Sc,0,0,0,0,0,0,0,0,1
PGC 39280  ,PGC0039280,Sc,0,0,0,0,0,0,0,0,1
PGC 42153  ,PGC0042153,E,1,0,0,0,0,0,0,0,0
PGC 36177  ,PGC0036177,E,1,0,0,0,0,0,0,0,0
PGC 36962  ,PGC0036962,S0,0,0,1,0,0,0,0,0,0
